127.0.0.1 - - [20/May/2018:11:59:13 +0530] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:14 +0530] "OPTIONS /todo/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:14 +0530] "POST /todo/login HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:14 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:14 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:14 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:15 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:15 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:15 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:00:15 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:05 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:05 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:06 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:06 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:06 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:06 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:06 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:06 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:06 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:06 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:07 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:07 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:07 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:07 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:07 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:11:07 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:12:29 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:12:29 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:12:29 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:12:30 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:00 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:00 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:00 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:00 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:00 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:00 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:00 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:43 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:43 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:44 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:44 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:59 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:59 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:59 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:42:59 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:43:34 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:43:34 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:43:34 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:43:34 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:43:51 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:43:51 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:43:52 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:43:52 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:06 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:16 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:16 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:16 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:23 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:39 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:57 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:57 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:44:58 +0530] "GET /todo/getNotes HTTP/1.1" 200 243711
0:0:0:0:0:0:0:1 - - [20/May/2018:12:45:08 +0530] "OPTIONS /todo/updateNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:45:08 +0530] "OPTIONS /todo/updatenotes HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [20/May/2018:12:45:08 +0530] "PUT /todo/updateNotes HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/May/2018:12:45:19 +0530] "OPTIONS /todo/updatenotes HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [20/May/2018:12:45:20 +0530] "PUT /todo/updateNotes HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/May/2018:12:45:26 +0530] "OPTIONS /todo/updatenotes HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [20/May/2018:12:45:26 +0530] "PUT /todo/updateNotes HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/May/2018:12:45:43 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:52:55 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:52:55 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:12:52:55 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:52:55 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:53:01 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:53:01 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:55:10 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:55:10 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:56:55 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:56:55 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:57:17 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:57:17 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:57:25 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:57:25 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:57:34 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:57:34 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:57:42 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:57:42 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:58:28 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:58:28 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:12:59:00 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:12:59:00 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:01:32 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:01:32 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:04:31 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:13:04:31 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:13:04:31 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:04:31 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:05:03 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:05:03 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:05:32 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:05:32 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:05:44 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:05:44 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:05:49 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:05:49 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:06:12 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:06:12 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:06:19 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:06:19 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:06:19 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:06:20 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:09:40 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:09:40 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:09:51 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:09:51 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:58:01 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:13:58:01 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:13:58:01 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:13:58:01 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:13:58:01 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:19 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:19 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:19 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:20 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:20 +0530] "OPTIONS /todo/getUrl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:21 +0530] "OPTIONS /todo/getUrl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:21 +0530] "OPTIONS /todo/getUrl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:22 +0530] "OPTIONS /todo/getUrl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:23 +0530] "POST /todo/getUrl HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:23 +0530] "POST /todo/getUrl HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:57 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:14:03:59 +0530] "GET /todo/getNotes HTTP/1.1" 200 243747
0:0:0:0:0:0:0:1 - - [20/May/2018:14:04:01 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
